Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
BCH,04/03/2020,319.3020762,-4%,,,,,,,,,,,,,,,
BCH,05/03/2020,334.1643307,5%,,,,,,,,,,,,,,,
BCH,06/03/2020,348.8888096,4%,,,,,,,,,,,,,,,
BCH,07/03/2020,334.4803892,-4%,,,,,,,,,,,,,,,
BCH,08/03/2020,276.2474196,-17%,,,,,,,,,,,,,,,
BCH,09/03/2020,271.1738945,-2%,,,,,,,,,,,,,,,
BCH,10/03/2020,274.4540769,1%,,,,,,,,,,,,,,,
BCH,11/03/2020,269.2258651,-2%,,,,,,,,,,,,,,,
BCH,12/03/2020,175.3120782,-35%,,,,,,,,,,,,,,,
BCH,13/03/2020,181.6030158,4%,,,,,,,,,,,,,,,
BCH,14/03/2020,168.7579759,-7%,,,,,,,,,,,,,,,
BCH,15/03/2020,180.3534902,7%,,,,,,,,,,,,,,,
BCH,16/03/2020,165.2054081,-8%,,,,,,,,,,,,,,,
BCH,17/03/2020,185.6262031,12%,,,,,,,,,,,,,,,
BCH,18/03/2020,180.9151912,-3%,,,,,,,,,,,,,,,
BCH,19/03/2020,228.2209143,26%,,,,,,,,,,,,,,,
BCH,20/03/2020,212.6968579,-7%,,,,,,,,,,,,,,,
BCH,21/03/2020,219.9716537,3%,,,,,,,,,,,,,,,
BCH,22/03/2020,204.5709249,-7%,,,,,,,,,,,,,,,
BCH,23/03/2020,220.0499344,8%,,,,,,,,,,,,,,,
BCH,24/03/2020,228.6823537,4%,,,,,,,,,,,,,,,
BCH,25/03/2020,221.1036537,-3%,,,,,,,,,,,,,,,
BCH,26/03/2020,225.4802182,2%,,,,,,,,,,,,,,,
BCH,27/03/2020,225.5493688,0%,,,,,,,,,,,,,,,
BCH,28/03/2020,213.6477949,-5%,,,,,,,,,,,,,,,
BCH,29/03/2020,207.2102058,-3%,,,,,,,,,,,,,,,
BCH,31/03/2020,222.4052915,7%,,,,,,,,,,,,,,,
BCH,01/04/2020,220.3188227,-1%,,,,,,,,,,,,,,,
BCH,02/04/2020,222.2725032,1%,,,,,,,,,,,,,,,
BCH,03/04/2020,236.2226616,6%,,,,,,,,,,,,,,,
